,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,mp1926,mp1939,mp1959,mp1970,spop1926,spop1939,spop1959,spop1970,smp1926,smp1939,smp1959,smp1970,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
36,126,Koigorodok,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.46,51.02,3655.4116,2603.0404,3084.6692,0,0,NA,NA,16264.83686,36059.15132,56979.509470000005,73817.66814,0.0,0.0,NA,NA,94.02717018,110.10128540000001,119.9122895,125.6496034,0,0,0,0,1,0,0,0,0
37,129,Kortkeros,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.8,51.6,3819.24,2662.56,3188.88,0,0,NA,NA,14602.698190000001,32576.873030000002,51902.511269999995,67853.04476,0.0,0.0,NA,NA,91.94818453,107.980319,117.877108,123.7678398,0,0,0,0,1,0,0,0,0
38,133,"Iz""iaiu",Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,56.98,4239.3121,3246.7204,3709.9678,0,0,NA,NA,10719.715709999999,23828.8883,40435.095010000005,52371.6295,0.0,0.0,NA,NA,86.11542884,101.57926479999999,112.51806709999998,118.07257040000002,0,0,0,0,1,0,0,0,0
39,135,Kozhva,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,57.05,4239.3121,3254.7025,3714.5255,0,0,NA,NA,10706.923920000001,23803.435830000002,41269.0316,53488.73251,0.0,0.0,NA,NA,86.09326986,101.55772370000001,112.95157090000001,118.5316966,0,0,0,0,1,0,0,0,0
40,137,Puteets,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.17,57.1,4247.1289,3260.41,3721.2070000000003,0,0,NA,NA,10663.96176,23706.5426,42155.41807,54679.71875,0.0,0.0,NA,NA,86.01867402,101.4755301,113.40372479999999,119.01169509999998,0,0,0,0,1,0,0,0,0
41,140,Ob'iachevo,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.43,49.61,3651.7849,2461.1521,2997.9323,0,0,NA,NA,16889.41797,37195.78165,58124.02852000001,75311.04194,0.0,0.0,NA,NA,94.75937175,110.75353700000001,120.3482375,126.09902109999999,0,0,0,0,1,0,0,0,0
42,143,Sosnogorsk,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.58,53.92,4042.4164,2907.3664,3428.2336,6710,11255,15799,24700,12299.10483,27521.70897,46024.91356,60721.37835,77.63996337,87.02217633,93.46446053,102.30429409999999,88.68519576,104.50421659999999,115.28184040000001,121.3093219,0,0,0,0,1,0,0,0,0
43,144,Voivozh,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.9,54.96,3956.41,3020.6016,3456.9840000000004,0,0,NA,NA,12660.42595,28226.61976,45231.35387,58536.341570000004,0.0,0.0,NA,NA,89.231381,105.0219298,114.9086621,120.503378,0,0,0,0,1,0,0,0,0
44,146,Nizhnii Odes,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.65,54.85,4051.3225,3008.5225,3491.2025,0,0,NA,NA,12185.24364,27066.20868,43408.86397,56389.96276,0.0,0.0,NA,NA,88.51010576,104.16327940000001,114.028631,119.6846165,0,0,0,0,1,0,0,0,0
45,149,Vyl'gort,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.21,54.17,3870.0841,2934.3889,3369.9157,0,0,NA,NA,13420.283140000001,29956.45307,47910.08922,61931.27643,0.0,0.0,NA,NA,90.33594812,106.2445571,116.14548329999998,121.74431440000001,0,0,0,0,1,0,0,0,0
