,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,mp1926,mp1939,mp1959,mp1970,mp1979,spop1926,spop1939,spop1959,spop1970,spop1979,smp1926,smp1939,smp1959,smp1970,smp1979,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
37,129,Kortkeros,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.8,51.6,3819.24,2662.56,3188.88,0,0,0,NA,NA,14602.698190000001,32576.873030000002,51902.511269999995,67853.04476,80734.67644,0.0,0.0,0.0,NA,NA,91.94818453,107.980319,117.877108,123.7678398,127.6656713,0,0,0,0,1,0,0,0,0
38,133,"Iz""iaiu",Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,56.98,4239.3121,3246.7204,3709.9678,0,0,0,NA,NA,10719.715709999999,23828.8883,40435.095010000005,52371.6295,62864.65666,0.0,0.0,0.0,NA,NA,86.11542884,101.57926479999999,112.51806709999998,118.07257040000002,122.07464209999999,0,0,0,0,1,0,0,0,0
39,135,Kozhva,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,57.05,4239.3121,3254.7025,3714.5255,0,0,0,NA,NA,10706.923920000001,23803.435830000002,41269.0316,53488.73251,64409.590229999994,0.0,0.0,0.0,NA,NA,86.09326986,101.55772370000001,112.95157090000001,118.5316966,122.6117236,0,0,0,0,1,0,0,0,0
40,137,Puteets,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.17,57.1,4247.1289,3260.41,3721.2070000000003,0,0,0,NA,NA,10663.96176,23706.5426,42155.41807,54679.71875,66096.16595,0.0,0.0,0.0,NA,NA,86.01867402,101.4755301,113.40372479999999,119.01169509999998,123.1848269,0,0,0,0,1,0,0,0,0
41,140,Ob'iachevo,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.43,49.61,3651.7849,2461.1521,2997.9323,0,0,0,NA,NA,16889.41797,37195.78165,58124.02852000001,75311.04194,89120.27077999999,0.0,0.0,0.0,NA,NA,94.75937175,110.75353700000001,120.3482375,126.09902109999999,129.90852479999998,0,0,0,0,1,0,0,0,0
42,143,Sosnogorsk,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.58,53.92,4042.4164,2907.3664,3428.2336,6710,11255,15799,24700,27000,12299.10483,27521.70897,46024.91356,60721.37835,72985.59554,77.63996337,87.02217633,93.46446053,102.30429409999999,104.1132927,88.68519576,104.50421659999999,115.28184040000001,121.3093219,125.39559320000001,0,0,0,0,1,0,0,0,0
43,144,Voivozh,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.9,54.96,3956.41,3020.6016,3456.9840000000004,0,0,0,NA,NA,12660.42595,28226.61976,45231.35387,58536.341570000004,69419.04228,0.0,0.0,0.0,NA,NA,89.231381,105.0219298,114.9086621,120.503378,124.27604209999998,0,0,0,0,1,0,0,0,0
44,146,Nizhnii Odes,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.65,54.85,4051.3225,3008.5225,3491.2025,0,0,0,NA,NA,12185.24364,27066.20868,43408.86397,56389.96276,67003.55611,0.0,0.0,0.0,NA,NA,88.51010576,104.16327940000001,114.028631,119.6846165,123.48767790000001,0,0,0,0,1,0,0,0,0
45,149,Vyl'gort,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.21,54.17,3870.0841,2934.3889,3369.9157,0,0,0,NA,NA,13420.283140000001,29956.45307,47910.08922,61931.27643,73367.36125,0.0,0.0,0.0,NA,NA,90.33594812,106.2445571,116.14548329999998,121.74431440000001,125.51246210000001,0,0,0,0,1,0,0,0,0
46,152,Vizinga,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.08,50.1,3730.7664,2510.01,3060.1079999999997,0,0,0,NA,NA,15868.025109999999,35087.79533,55090.45496,71639.14711,84941.96342999999,0.0,0.0,0.0,NA,NA,93.54877103,109.5289642,119.1750321,124.9789162,128.816224,0,0,0,0,1,0,0,0,0
47,155,Troitsko-Pechorsk,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.7,56.2,3931.29,3158.44,3523.74,0,0,0,NA,NA,12490.91719,27960.60152,44993.53948,58063.156370000004,68791.83292,0.0,0.0,0.0,NA,NA,88.97690527,104.82794109999999,114.79567140000002,120.32524850000001,124.0737634,0,0,0,0,1,0,0,0,0
48,158,Blagoevo,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.42,47.97,4022.0964,2301.1209,3042.2574,0,0,0,NA,NA,13858.979640000001,30441.451589999997,46619.82181,60352.54695,71440.66561,0.0,0.0,0.0,NA,NA,90.94843042,106.5759013,115.5577935,121.17514879999999,124.9168912,0,0,0,0,1,0,0,0,0
49,160,Usogorsk,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.44,48.67,4024.6336,2368.7689,3087.6248,0,0,0,NA,NA,13669.836269999998,30057.011430000002,46271.74358,59910.92423,70941.1856,0.0,0.0,0.0,NA,NA,90.68651866,106.3136533,115.39672490000001,121.01351149999999,124.760108,0,0,0,0,1,0,0,0,0
50,161,Koslan,Komi ASSR,Severno-Zapadny,0,0,1,7.0,63.46,48.89,4027.1716,2390.2321,3102.5594,0,0,0,NA,NA,13597.7964,29909.24675,46116.96975,59712.738710000005,70714.19849,0.0,0.0,0.0,NA,NA,90.58590953,106.21204820000001,115.3247522,120.9406217,124.688526,0,0,0,0,1,0,0,0,0
51,165,Parma,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.94,57.46,4348.0836,3301.6516,3788.9124,0,0,0,NA,NA,10190.48173,22629.02697,36404.063330000004,47081.5124,57957.55436,0.0,0.0,0.0,NA,NA,85.17830615,100.5405032,110.30115520000001,115.7697601,120.2853149,0,0,0,0,1,0,0,0,0
53,168,Zheshart,Komi ASSR,Severno-Zapadny,0,0,0,1.0,62.06,49.55,3851.4436,2455.2025,3075.073,0,0,0,NA,NA,14942.3598,32921.3206,51597.15591,67049.646,79510.35005,0.0,0.0,0.0,NA,NA,92.38968658,108.1990195,117.7490152,123.50296110000001,127.3205877,0,0,0,0,1,0,0,0,0
54,169,Aikino,Komi ASSR,Severno-Zapadny,0,0,1,1.0,62.22,49.99,3871.3284,2499.0001,3110.3778,0,0,0,NA,NA,14617.861330000002,32290.838939999998,51283.4489,66477.20217,78831.21516,0.0,0.0,0.0,NA,NA,91.96808924,107.7971129,117.6167004,123.3124597,127.12707560000001,0,0,0,0,1,0,0,0,0
55,173,Ust'-Kulom,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.69,53.69,3805.6561,2882.6161,3312.1361,0,0,0,NA,NA,14033.564059999999,31355.80075,50140.94281,64808.38544,76747.58035,0.0,0.0,0.0,NA,NA,91.18735762,107.1878094,117.128523,122.74845719999999,126.52373859999999,0,0,0,0,1,0,0,0,0
56,176,Ust'-Tsil'ma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.44,52.16,4282.3936,2720.6656,3413.3504,3247,0,0,NA,NA,11327.93012,25033.71898,39052.58483,50529.01695,59944.681370000006,65.37509634,0.0,0.0,NA,NA,87.14272249999999,102.5759577,111.7812314,117.295464,121.02590500000001,0,0,0,0,1,0,0,0,0
57,180,Arkhangel'sk,Arkhangel'skaia oblast',Severno-Zapadny,1,1,0,1.0,64.53,40.56,4164.1209,1645.1136,2617.3368,71091,251000,256309,342600,385000,13741.766480000002,30198.400939999996,46827.66819,62180.951839999994,74642.75877,124.807239,154.5846666,155.1055789,162.41766330000002,165.4052853,90.78650228,106.4104532,115.6534523,121.83311699999999,125.89891999999999,0,0,0,0,1,0,0,0,0
58,185,Koriazhma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.32,47.14,3760.1424,2222.1796,2890.6248,0,0,11200,33200,42800,17090.02114,37426.53575,57336.459520000004,74095.9899,87298.1228,0.0,0.0,86.93080469,108.3744534,113.72715330000001,94.98938931,110.88374830000001,120.04909939999999,125.73398600000002,129.4380458,0,0,0,0,1,0,0,0,0
59,187,Kotlas,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.26,46.7,3752.7876,2180.89,2860.842,4280,17265,39162,55700,61400,17215.18737,37314.59811,56851.703239999995,73954.76182999999,87408.53901000001,69.9181655,95.18805532,111.8404001,119.41540149999999,121.55426580000001,95.13168415,110.82067450000001,119.8631152,125.6912041,129.4668091,0,0,0,0,1,0,0,0,0
60,189,Novodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.42,40.81,4149.9364,1665.4561,2628.9802,0,0,16300,34200,47800,18003.92567,44887.33262,60504.11052,79377.90163,93142.2665,0.0,0.0,94.06905667,108.9932017,116.09590379999999,96.00756681,114.74503529999998,121.23037439999999,127.2829665,130.9166946,0,0,0,0,1,0,0,0,0
61,191,Onega,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,63.91,38.1,4084.4881,1451.61,2434.971,5254,15783,21306,25000,25000,15355.76144,33798.851610000005,48729.64052,63020.23465,74570.47127000001,73.38911939,93.44487024,99.335986,102.54865749999999,102.54865749999999,92.91506385,108.746982,116.5113591,122.12926759999999,125.87717759999998,0,0,0,0,1,0,0,0,0
62,193,Severodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.57,39.85,4169.2849,1588.0225,2573.1145,0,21304,78657,144700,197200,15853.94175,36995.60409,51376.247989999996,66604.69602999999,78232.53498,0.0,99.33411476,127.07719009999998,141.1918555,148.64422319999997,93.53159569,110.6399862,117.6559174,123.3550168,126.9552242,0,0,0,0,1,0,0,0,0
63,195,Vel'sk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,7.0,61.07,42.09,3729.5449,1771.5681,2570.4363,3486,6712,16938,21900,24600,19117.55025,41186.606889999995,60250.91963,77554.49331,91427.25138,66.52865907,77.64521534,94.81530141,99.88487147,102.2222451,97.18730238,112.9090794,121.1380479,126.75913870000001,130.491757,0,0,0,0,1,0,0,0,0
64,196,Kuloi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.03,42.5,3724.6609,1806.25,2593.775,0,0,0,NA,NA,19179.10944,41309.94912,60930.83255,78466.65995,92456.45422999999,0.0,0.0,0.0,NA,NA,97.25069926,112.9726362,121.3851874,127.02257209999999,130.7476313,0,0,0,0,1,0,0,0,0
65,197,Solginskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.05,41.35,3727.1025,1709.8225,2524.4175,0,0,0,NA,NA,19554.90856,42068.544669999996,61376.71121,78936.30127000001,93001.23966,0.0,0.0,0.0,NA,NA,97.6337976,113.35979259999999,121.5459007,127.1571179,130.8820223,0,0,0,0,1,0,0,0,0
66,200,Dvinskoi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,62.16,45.12,3863.8656,2035.8144,2804.6592,0,0,0,NA,NA,16202.81435,35298.87365,53006.574689999994,68531.83982000001,80947.20836,0.0,0.0,0.0,NA,NA,93.95309034,109.6545392,118.3346094,123.9894216,127.7250883,0,0,0,0,1,0,0,0,0
67,201,Verkhniaia Toima,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.25,45.02,3875.0625,2026.8004,2802.495,0,0,0,NA,NA,16102.082709999999,35088.048819999996,52641.9878,68054.4655,80388.81015,0.0,0.0,0.0,NA,NA,93.83223251,109.52911540000001,118.18449679999999,123.83380009999999,127.56867290000001,0,0,0,0,1,0,0,0,0
68,204,Il'insko-Podomskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.12,47.98,3735.6544,2302.0804,2932.5376,0,0,0,NA,NA,16736.63289,36663.7661,56598.099,73514.32051,86897.47567,0.0,0.0,0.0,NA,NA,94.58253342,110.4505203,119.76524109999998,125.5573027,129.3333983,0,0,0,0,1,0,0,0,0
69,207,Bereznik,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.85,42.74,3950.1225,1826.7076,2686.2090000000003,0,0,0,NA,NA,15944.35751,34799.28076,51318.28009,66284.37815,78297.39744,0.0,0.0,0.0,NA,NA,93.64162496,109.3562108,117.63142759999998,123.2479544,126.9739008,0,0,0,0,1,0,0,0,0
71,212,Konosha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,60.98,40.24,3718.5604,1619.2576,2453.8352,0,0,0,NA,NA,20118.87839,43196.07791,62380.20477999999,80120.01782000001,94388.58492000001,0.0,0.0,0.0,NA,NA,98.19648338,113.92370859999998,121.9037533,127.4930269,131.221044,0,0,0,0,1,0,0,0,0
72,213,Voloshka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.33,40.1,3761.3689,1608.01,2459.333,0,0,0,NA,NA,19428.453380000003,41848.45977,60426.044420000006,77566.592,91326.0351,0.0,0.0,0.0,NA,NA,97.50563056,113.2481259,121.201945,126.7626513,130.46645149999998,0,0,0,0,1,0,0,0,0
73,214,Ertsevo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,60.8,40.09,3696.64,1607.2081,2437.472,0,0,0,NA,NA,20619.31242,44198.37959,63716.4645,81823.4961,96399.14622000001,0.0,0.0,0.0,NA,NA,98.68402642,114.41390159999999,122.3722307,127.9685774,131.7043743,0,0,0,0,1,0,0,0,0
74,215,Podiuga,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.09,40.86,3731.9881,1669.5396,2496.1374,0,0,0,NA,NA,19635.40874,42237.06248,61333.82423,78832.6392,92875.02629,0.0,0.0,0.0,NA,NA,97.71500003,113.4449379,121.5304887,127.12748300000001,130.8509513,0,0,0,0,1,0,0,0,0
76,218,Privodino,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.07,46.49,3729.5449,2161.3201,2839.1443,0,0,0,NA,NA,17871.96023,39057.36419,59650.110889999996,77300.60191,91029.87978999999,0.0,0.0,0.0,NA,NA,95.86345181,111.783819,120.91754240000002,126.6853128,130.3922611,0,0,0,0,1,0,0,0,0
77,219,Udimskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.14,46.92,3738.0996,2201.4864,2868.6888,0,0,0,NA,NA,17521.59022,38496.20269,59524.13012,77729.18763,91625.24373999999,0.0,0.0,0.0,NA,NA,95.47613694,111.47801319999999,120.8710496,126.80980819999999,130.5411842,0,0,0,0,1,0,0,0,0
78,220,Kharitonovo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.41,47.5,3771.1881,2256.25,2916.975,0,0,0,NA,NA,16585.04557,36322.869380000004,56185.31555,73477.86409,86894.76257,0.0,0.0,0.0,NA,NA,94.40564424,110.2542595,119.6050793,125.5461866,129.3326881,0,0,0,0,1,0,0,0,0
79,221,Cheremushskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.27,47.27,3754.0129,2234.4529,2896.2329,0,0,0,NA,NA,17001.99564,37242.63534,58316.771570000004,77453.99569,91724.09446000001,0.0,0.0,0.0,NA,NA,94.88875659,110.78003490000002,120.4208848,126.7299426,130.565825,0,0,0,0,1,0,0,0,0
80,222,Shipitsyno,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.28,46.53,3755.2384,2165.0409,2851.3584,0,0,0,NA,NA,17665.40277,39155.10344,60850.30266,79473.69377,93424.94962999999,0.0,0.0,0.0,NA,NA,95.63594773,111.836675,121.35604709999998,127.3101814,130.9860499,0,0,0,0,1,0,0,0,0
