,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
42,143,Sosnogorsk,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.58,53.92,4042.4164,2907.3664,3428.2336,6710,11255,15799,24700,27000,30439,12299.10483,27521.70897,46024.91356,60721.37835,72985.59554,98333.67241,77.63996337,87.02217633,93.46446053,102.30429409999999,104.1132927,106.5742385,88.68519576,104.50421659999999,115.28184040000001,121.3093219,125.39559320000001,132.1608163,0,0,0,0,1,0,0,0,0
43,144,Voivozh,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.9,54.96,3956.41,3020.6016,3456.9840000000004,0,0,0,0,NA,5517,12660.42595,28226.61976,45231.35387,58536.341570000004,69419.04228,92006.90996,0.0,0.0,0.0,0.0,NA,74.22838266,89.231381,105.0219298,114.9086621,120.503378,124.27604209999998,130.6361896,0,0,0,0,1,0,0,0,0
44,146,Nizhnii Odes,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.65,54.85,4051.3225,3008.5225,3491.2025,0,0,0,0,NA,12594,12185.24364,27066.20868,43408.86397,56389.96276,67003.55611,88796.88478,0.0,0.0,0.0,0.0,NA,89.13202385,88.51010576,104.16327940000001,114.028631,119.6846165,123.48767790000001,129.82567079999998,0,0,0,0,1,0,0,0,0
45,149,Vyl'gort,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.21,54.17,3870.0841,2934.3889,3369.9157,0,0,0,0,NA,8965,13420.283140000001,29956.45307,47910.08922,61931.27643,73367.36125,96881.36701,0.0,0.0,0.0,0.0,NA,82.8297188,90.33594812,106.2445571,116.14548329999998,121.74431440000001,125.51246210000001,131.8189291,0,0,0,0,1,0,0,0,0
46,152,Vizinga,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.08,50.1,3730.7664,2510.01,3060.1079999999997,0,0,0,0,NA,7014,15868.025109999999,35087.79533,55090.45496,71639.14711,84941.96342999999,111600.8426,0.0,0.0,0.0,0.0,NA,78.4227748,93.54877103,109.5289642,119.1750321,124.9789162,128.816224,135.0867806,0,0,0,0,1,0,0,0,0
47,155,Troitsko-Pechorsk,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.7,56.2,3931.29,3158.44,3523.74,0,0,0,0,NA,10704,12490.91719,27960.60152,44993.53948,58063.156370000004,68791.83292,91031.64478,0.0,0.0,0.0,0.0,NA,86.08820149,88.97690527,104.82794109999999,114.79567140000002,120.32524850000001,124.0737634,130.39270390000001,0,0,0,0,1,0,0,0,0
48,158,Blagoevo,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.42,47.97,4022.0964,2301.1209,3042.2574,0,0,0,0,NA,4695,13858.979640000001,30441.451589999997,46619.82181,60352.54695,71440.66561,93893.37073,0.0,0.0,0.0,0.0,NA,71.47440041,90.94843042,106.5759013,115.5577935,121.17514879999999,124.9168912,131.100555,0,0,0,0,1,0,0,0,0
49,160,Usogorsk,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.44,48.67,4024.6336,2368.7689,3087.6248,0,0,0,0,NA,11259,13669.836269999998,30057.011430000002,46271.74358,59910.92423,70941.1856,93425.71642000001,0.0,0.0,0.0,0.0,NA,87.02880598,90.68651866,106.3136533,115.39672490000001,121.01351149999999,124.760108,130.9862378,0,0,0,0,1,0,0,0,0
50,161,Koslan,Komi ASSR,Severno-Zapadny,0,0,1,7.0,63.46,48.89,4027.1716,2390.2321,3102.5594,0,0,0,0,NA,3812,13597.7964,29909.24675,46116.96975,59712.738710000005,70714.19849,93799.62916,0.0,0.0,0.0,0.0,NA,67.9950196,90.58590953,106.21204820000001,115.3247522,120.9406217,124.688526,131.0776817,0,0,0,0,1,0,0,0,0
51,165,Parma,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.94,57.46,4348.0836,3301.6516,3788.9124,0,0,0,0,NA,8791,10190.48173,22629.02697,36404.063330000004,47081.5124,57957.55436,79370.11203999999,0.0,0.0,0.0,0.0,NA,82.47334709999998,85.17830615,100.5405032,110.30115520000001,115.7697601,120.2853149,127.2807521,0,0,0,0,1,0,0,0,0
