,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,mp1926,mp1939,mp1959,spop1926,spop1939,spop1959,smp1926,smp1939,smp1959,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
41,140,Ob'iachevo,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.43,49.61,3651.7849,2461.1521,2997.9323,0,NA,NA,16889.41797,37195.78165,58124.02852000001,0.0,NA,NA,94.75937175,110.75353700000001,120.3482375,0,0,0,0,1,0,0,0,0
43,144,Voivozh,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.9,54.96,3956.41,3020.6016,3456.9840000000004,0,NA,NA,12660.42595,28226.61976,45231.35387,0.0,NA,NA,89.231381,105.0219298,114.9086621,0,0,0,0,1,0,0,0,0
44,146,Nizhnii Odes,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.65,54.85,4051.3225,3008.5225,3491.2025,0,NA,NA,12185.24364,27066.20868,43408.86397,0.0,NA,NA,88.51010576,104.16327940000001,114.028631,0,0,0,0,1,0,0,0,0
45,149,Vyl'gort,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.21,54.17,3870.0841,2934.3889,3369.9157,0,NA,NA,13420.283140000001,29956.45307,47910.08922,0.0,NA,NA,90.33594812,106.2445571,116.14548329999998,0,0,0,0,1,0,0,0,0
46,152,Vizinga,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.08,50.1,3730.7664,2510.01,3060.1079999999997,0,NA,NA,15868.025109999999,35087.79533,55090.45496,0.0,NA,NA,93.54877103,109.5289642,119.1750321,0,0,0,0,1,0,0,0,0
47,155,Troitsko-Pechorsk,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.7,56.2,3931.29,3158.44,3523.74,0,NA,NA,12490.91719,27960.60152,44993.53948,0.0,NA,NA,88.97690527,104.82794109999999,114.79567140000002,0,0,0,0,1,0,0,0,0
48,158,Blagoevo,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.42,47.97,4022.0964,2301.1209,3042.2574,0,NA,NA,13858.979640000001,30441.451589999997,46619.82181,0.0,NA,NA,90.94843042,106.5759013,115.5577935,0,0,0,0,1,0,0,0,0
49,160,Usogorsk,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.44,48.67,4024.6336,2368.7689,3087.6248,0,NA,NA,13669.836269999998,30057.011430000002,46271.74358,0.0,NA,NA,90.68651866,106.3136533,115.39672490000001,0,0,0,0,1,0,0,0,0
50,161,Koslan,Komi ASSR,Severno-Zapadny,0,0,1,7.0,63.46,48.89,4027.1716,2390.2321,3102.5594,0,NA,NA,13597.7964,29909.24675,46116.96975,0.0,NA,NA,90.58590953,106.21204820000001,115.3247522,0,0,0,0,1,0,0,0,0
51,165,Parma,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.94,57.46,4348.0836,3301.6516,3788.9124,0,NA,NA,10190.48173,22629.02697,36404.063330000004,0.0,NA,NA,85.17830615,100.5405032,110.30115520000001,0,0,0,0,1,0,0,0,0
52,167,Mikun',Komi ASSR,Severno-Zapadny,0,1,0,1.0,62.36,50.06,3888.7696,2506.0036,3121.7416,0,NA,11300,14437.7209,31882.02092,49960.2927,0.0,NA,87.09663891,91.73041348,107.53270069999999,117.05041100000001,0,0,0,0,1,0,0,0,0
53,168,Zheshart,Komi ASSR,Severno-Zapadny,0,0,0,1.0,62.06,49.55,3851.4436,2455.2025,3075.073,0,NA,NA,14942.3598,32921.3206,51597.15591,0.0,NA,NA,92.38968658,108.1990195,117.7490152,0,0,0,0,1,0,0,0,0
54,169,Aikino,Komi ASSR,Severno-Zapadny,0,0,1,1.0,62.22,49.99,3871.3284,2499.0001,3110.3778,0,NA,NA,14617.861330000002,32290.838939999998,51283.4489,0.0,NA,NA,91.96808924,107.7971129,117.6167004,0,0,0,0,1,0,0,0,0
55,173,Ust'-Kulom,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.69,53.69,3805.6561,2882.6161,3312.1361,0,NA,NA,14033.564059999999,31355.80075,50140.94281,0.0,NA,NA,91.18735762,107.1878094,117.128523,0,0,0,0,1,0,0,0,0
56,176,Ust'-Tsil'ma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.44,52.16,4282.3936,2720.6656,3413.3504,3247,NA,NA,11327.93012,25033.71898,39052.58483,65.37509634,NA,NA,87.14272249999999,102.5759577,111.7812314,0,0,0,0,1,0,0,0,0
58,185,Koriazhma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.32,47.14,3760.1424,2222.1796,2890.6248,0,NA,11200,17090.02114,37426.53575,57336.459520000004,0.0,NA,86.93080469,94.98938931,110.88374830000001,120.04909939999999,0,0,0,0,1,0,0,0,0
60,189,Novodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.42,40.81,4149.9364,1665.4561,2628.9802,0,NA,16300,18003.92567,44887.33262,60504.11052,0.0,NA,94.06905667,96.00756681,114.74503529999998,121.23037439999999,0,0,0,0,1,0,0,0,0
