,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
26,87,Vorkuta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,67.48,64.03,4553.5504,4099.8409,4320.7444,0,0,84125,90000,101100,214527,132378,95866,8637.603405,19311.50673,30742.65972,39771.31045,47307.84899,63268.53736,61786.907660000004,57081.52137,0.0,0.0,128.59693959999998,130.1325381,132.7994739,150.70486259999998,139.0846785,131.57711129999998,82.15392862,97.38643173,106.7792906,112.16718590000002,115.8729855,122.2161966,121.6928179,119.95146740000001,0,0,0,0,1,0,0,0,0
27,101,Inta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.03,60.17,4359.9609,3620.4289,3973.0251,0,0,45136,50200,50800,66356,43350,35124,9720.048282,21673.821930000002,34701.74675,44824.86208,53365.1628,71470.91941,69480.95362,64181.573979999994,0.0,0.0,114.8634223,117.15400359999998,117.4113463,123.27193390000002,113.99965259999999,109.55055159999998,84.30812986,99.67746946,109.2975175,114.7152006,118.48134040000001,124.92635559999998,124.2959186,122.5331979,0,0,0,0,1,0,0,0,0
28,105,Pechora,Komi ASSR,Severno-Zapadny,0,1,0,1.0,65.14,57.23,4243.2196,3275.2729,3727.9622,0,0,30586,41000,56400,64746,48700,57728,10657.23968,23698.798919999997,37754.930389999994,48777.6155,57970.24299,78299.42603,75901.79485,70011.42523,0.0,0.0,106.6737327,112.8125946,119.68851070000001,122.7271179,116.49822420000001,120.1982797,86.00697811,101.46894820000001,111.0678094,116.5326034,120.29011659999999,126.9744846,126.2745652,124.4655672,0,0,0,0,1,0,0,0,0
29,106,Usinsk,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.01,57.55,4357.3201,3312.0025,3798.8755,0,0,0,700,19500,47219,45358,47465,10140.52306,22518.3197,36217.14649,46754.06765,55434.7976,74606.67113999999,71614.95727,66126.0916,0.0,0.0,0.0,42.91665356,97.5782375,115.83251770000001,114.96861470000002,115.9443943,85.08761566,100.442177,110.19305420000002,115.6196227,119.31111609999998,125.88806809999998,124.97136529999999,123.19487509999999,0,0,0,0,1,0,0,0,0
30,108,Ukhta,Komi ASSR,Severno-Zapadny,0,1,0,7.0,63.57,53.67,4041.1449,2880.4689,3411.8019,0,2669,36154,62900,87500,136931,124027,121596,12902.935529999999,28341.03097,44539.49775,57849.95277,68352.70941,89987.94174,87872.66043999999,82549.8773,0.0,62.24356567,110.1564202,122.08706240000001,129.4906095,139.88342690000002,137.5519551,137.0880204,89.59020271,105.104855,114.5784347,120.244557,123.931142,130.1294811,129.5873508,128.1686176,0,0,0,0,1,0,0,0,0
31,114,Vuktyl,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.87,57.32,4079.3769,3285.5824,3661.0284,0,0,100,7800,16800,19330,14472,14875,11400.77583,25451.673469999998,40952.69227,52843.01635,62659.54866,83264.33472,81125.55833,75000.12413,0.0,0.0,21.20759244,80.31527544,94.65605161,97.40532426,91.77584488,92.30285014,87.26243939,102.9116264,112.788071,118.26738329999999,122.0024376,128.3638147,127.7748395,126.0061264,0,0,0,0,1,0,0,0,0
34,120,Emva,Komi ASSR,Severno-Zapadny,0,1,1,7.0,62.56,50.83,3913.7536,2583.6889,3179.9248,0,0,13700,13500,15900,18782,16739,14574,14005.204,30984.6073,48698.87675,63239.21038,75005.04039,98902.38147000001,96754.20242999999,89387.5859,0.0,0.0,90.7285037,90.44856342,93.58771527,96.83847594,94.58528422,91.91046159,91.14872718,106.94136509999998,116.4977263,122.2059456,126.007598,132.29344129999998,131.7887709,129.9768062,0,0,0,0,1,0,0,0,0
37,129,Kortkeros,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.8,51.6,3819.24,2662.56,3188.88,0,0,0,0,0,4373,4659,NA,14602.698190000001,32576.873030000002,51902.511269999995,67853.04476,80734.67644,106441.3826,104227.5945,96732.21529,0.0,0.0,0.0,0.0,0.0,70.27811855,71.34431015,NA,91.94818453,107.980319,117.877108,123.7678398,127.6656713,133.988721,133.5025925,131.7835528,0,0,0,0,1,0,0,0,0
41,140,Ob'iachevo,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.43,49.61,3651.7849,2461.1521,2997.9323,0,0,0,0,0,5273,5835,NA,16889.41797,37195.78165,58124.02852000001,75311.04194,89120.27077999999,116894.8048,114748.9492,105816.4151,0.0,0.0,0.0,0.0,0.0,73.45098036,75.19715896,NA,94.75937175,110.75353700000001,120.3482375,126.09902109999999,129.90852479999998,136.16625430000002,135.73419619999999,133.85242639999998,0,0,0,0,1,0,0,0,0
42,143,Sosnogorsk,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.58,53.92,4042.4164,2907.3664,3428.2336,6710,11255,15799,24700,27000,30439,29587,46828,12299.10483,27521.70897,46024.91356,60721.37835,72985.59554,98333.67241,95238.11177,88347.45172000001,77.63996337,87.02217633,93.46446053,102.30429409999999,104.1132927,106.5742385,105.9888854,115.6536047,88.68519576,104.50421659999999,115.28184040000001,121.3093219,125.39559320000001,132.1608163,131.4264022,129.7100643,0,0,0,0,1,0,0,0,0
44,146,Nizhnii Odes,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.65,54.85,4051.3225,3008.5225,3491.2025,0,0,0,0,0,12594,11745,9681,12185.24364,27066.20868,43408.86397,56389.96276,67003.55611,88796.88478,86494.41096000001,80288.42187,0.0,0.0,0.0,0.0,0.0,89.13202385,87.81906889,84.23422435,88.51010576,104.16327940000001,114.028631,119.6846165,123.48767790000001,129.82567079999998,129.22767439999998,127.5404477,0,0,0,0,1,0,0,0,0
45,149,Vyl'gort,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.21,54.17,3870.0841,2934.3889,3369.9157,0,0,0,0,0,8965,10211,NA,13420.283140000001,29956.45307,47910.08922,61931.27643,73367.36125,96881.36701,94632.09281,87420.5683,0.0,0.0,0.0,0.0,0.0,82.8297188,85.21543837,NA,90.33594812,106.2445571,116.14548329999998,121.74431440000001,125.51246210000001,131.8189291,131.2800796,129.46994070000002,0,0,0,0,1,0,0,0,0
46,152,Vizinga,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.08,50.1,3730.7664,2510.01,3060.1079999999997,0,0,0,0,0,7014,7140,NA,15868.025109999999,35087.79533,55090.45496,71639.14711,84941.96342999999,111600.8426,109445.3128,101138.8838,0.0,0.0,0.0,0.0,0.0,78.4227748,78.73843533,NA,93.54877103,109.5289642,119.1750321,124.9789162,128.816224,135.0867806,134.6337925,132.8083367,0,0,0,0,1,0,0,0,0
47,155,Troitsko-Pechorsk,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.7,56.2,3931.29,3158.44,3523.74,0,0,0,0,0,10704,8851,7276,12490.91719,27960.60152,44993.53948,58063.156370000004,68791.83292,91031.64478,88817.77832,82047.60502999999,0.0,0.0,0.0,0.0,0.0,86.08820149,82.59693744,79.07364913,88.97690527,104.82794109999999,114.79567140000002,120.32524850000001,124.0737634,130.39270390000001,129.83103219999998,128.03046750000001,0,0,0,0,1,0,0,0,0
49,160,Usogorsk,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.44,48.67,4024.6336,2368.7689,3087.6248,0,0,0,0,0,11259,5583,5340,13669.836269999998,30057.011430000002,46271.74358,59910.92423,70941.1856,93425.71642000001,91246.873,83992.57083,0.0,0.0,0.0,0.0,0.0,87.02880598,74.43343781,73.66756168,90.68651866,106.3136533,115.39672490000001,121.01351149999999,124.760108,130.9862378,130.446642,128.5612111,0,0,0,0,1,0,0,0,0
52,167,Mikun',Komi ASSR,Severno-Zapadny,0,1,0,1.0,62.36,50.06,3888.7696,2506.0036,3121.7416,0,0,11300,10400,11300,12507,11680,10732,14437.7209,31882.02092,49960.2927,64935.96181,77037.75365,101804.7196,99585.33096,91815.58051,0.0,0.0,87.09663891,85.55438027,87.09663891,89.00118179,87.71508629,86.1366865,91.73041348,107.53270069999999,117.05041100000001,122.79203740000001,126.6086492,132.9596195,132.45179040000002,130.5886084,0,0,0,0,1,0,0,0,0
53,168,Zheshart,Komi ASSR,Severno-Zapadny,0,0,0,1.0,62.06,49.55,3851.4436,2455.2025,3075.073,0,0,0,0,0,12674,10029,8560,14942.3598,32921.3206,51597.15591,67049.646,79510.35005,104610.0611,102460.8813,94505.48347,0.0,0.0,0.0,0.0,0.0,89.25162712,84.88372082,81.99040757,92.38968658,108.1990195,117.7490152,123.50296110000001,127.3205877,133.5872487,133.10782279999998,131.249402,0,0,0,0,1,0,0,0,0
55,173,Ust'-Kulom,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.69,53.69,3805.6561,2882.6161,3312.1361,0,0,0,0,0,5888,5475,NA,14033.564059999999,31355.80075,50140.94281,64808.38544,76747.58035,101202.7378,98966.07583,91302.79707,0.0,0.0,0.0,0.0,0.0,75.35406048,74.0967611,NA,91.18735762,107.1878094,117.128523,122.74845719999999,126.52373859999999,132.8228841,132.3082517,130.460638,0,0,0,0,1,0,0,0,0
56,176,Ust'-Tsil'ma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.44,52.16,4282.3936,2720.6656,3413.3504,3247,0,0,0,0,5344,5081,NA,11327.93012,25033.71898,39052.58483,50529.01695,59944.681370000006,79163.62336,77168.46203,71248.83114,65.37509634,0.0,0.0,0.0,0.0,73.68041582,72.81658377,NA,87.14272249999999,102.5759577,111.7812314,117.295464,121.02590500000001,127.2219807,126.64680200000001,124.85679420000001,0,0,0,0,1,0,0,0,0
