,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
533,1188,Dmitrov,Moskovskaia oblast',Tcentralny,0,1,0,24.0,56.36,37.54,3176.4496,1409.2516,2115.7544,4480,6390,31647.1908,59558.403770000004,70.68401031,76.78122307,107.3794304,120.883707,0,0,0,0,0,0,1,0,0
535,1194,Egor'evsk,Moskovskaia oblast',Tcentralny,0,1,0,35.0,55.38,39.03,3066.9444,1523.3409,2161.4814,19239,29942,28234.09162,51825.82264,97.31220247,106.2346088,105.0273547,117.84500249999999,0,0,0,0,0,0,1,0,0
536,1199,Zagorsk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,56.31,38.14,3170.8161,1454.6596,2147.6634,15155,21391,31330.81582,58993.29144,92.66152763,99.41536803,107.17130420000001,120.67415790000001,0,0,0,0,0,0,1,0,0
537,1200,Zaraisk,Moskovskaia oblast',Tcentralny,0,1,0,35.0,54.76,38.88,2998.6576,1511.6544,2129.0688,8054,11766,26103.687469999997,44629.25913,80.89067146,87.85255341,103.4254802,114.62153980000001,0,0,0,0,0,0,1,0,0
539,1210,Kashira,Moskovskaia oblast',Tcentralny,0,1,0,24.0,54.84,38.16,3007.4256,1456.1856,2092.6944,4038,7435,28321.178069999998,49238.61997,68.94819194,79.4585734,105.09048729999999,116.7357844,0,0,0,0,0,0,1,0,0
540,1212,Klin,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.64,36.75,3095.8096,1350.5625,2044.77,4655,8722,35134.21079,64797.77601,71.32980102,82.3302868,109.5566362,122.7448295,0,0,0,0,0,0,1,0,0
541,1213,Kolomna,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.09,38.78,3034.9081,1503.8884,2136.3902,20277,30564,28029.656089999997,49726.22187,98.35169916,106.6588699,104.8784574,116.9488179,0,0,0,0,0,0,1,0,0
544,1223,Noginsk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.86,38.45,3120.3396,1478.4025,2147.817,11102,37991,37272.61481,71192.4025,86.76699968,111.1992304,110.79697390000001,124.83908840000001,0,0,0,0,0,0,1,0,0
545,1225,Ozery,Moskovskaia oblast',Tcentralny,0,1,0,24.0,54.85,38.53,3008.5225,1484.5609,2113.3705,11166,14050,27467.85012,47781.792839999995,86.87411985,91.20971373,104.46417029999999,116.0876941,0,0,0,0,0,0,1,0,0
546,1226,Orekhovo-Zuevo,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.81,38.99,3114.7561,1520.2201,2176.0319,9908,62782,29839.13333,56277.2288,84.66020055,122.04557009999999,106.16367859999998,119.6408343,0,0,0,0,0,0,1,0,0
547,1228,Pavlovskii Posad,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.78,38.65,3111.4084,1493.8225,2155.897,9991,20717,34241.54975,67257.88976,84.8137845,98.77795444,109.01855490000001,123.57189469999999,0,0,0,0,0,0,1,0,0
549,1232,Ramenskoe,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.57,38.24,3088.0249,1462.2976,2124.9968,6865,13645,41586.632410000006,78999.5285,78.04293625,90.65188664,113.11458470000001,127.17517590000001,0,0,0,0,0,0,1,0,0
