,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1897,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1897,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1897,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
586,1326,Golitsyno,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.61,36.99,3092.4721,1368.2601,2057.0139,NA,1500,NA,NA,NA,NA,23315,16189,17447,41484.37171,77605.85234,176407.0381,249050.2951,314752.6665,368163.1366,440441.0917,467886.2114,425616.4488,NA,53.48319243,NA,NA,NA,NA,101.1402764,93.93655581,95.39278475,113.06222120000001,126.774046,145.9396719,154.3908172,160.2640144,164.2570696,168.88385159999999,170.4586244,167.99513869999998,0,0,0,0,0,0,1,0,0
587,1329,Kubinka,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.57,36.7,3088.0249,1346.89,2039.4189999999999,NA,NA,NA,NA,NA,NA,8019,26158,22918,34100.91972,62678.95374,140354.4288,199275.8256,254268.0035,297623.3327,360995.461,377062.2046,344789.3253,NA,NA,NA,NA,NA,NA,80.81235089,103.4677602,100.7951325,108.93263130000001,122.00927800000001,140.4681532,148.8996689,154.90650349999999,158.85032919999998,163.7535004,164.8698488,162.58006640000002,0,0,0,0,0,0,1,0,0
588,1334,Drezna,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.74,38.85,3106.9476,1509.3225,2165.499,NA,7897,11300,11500,12500,12300,13047,11665,11815,32510.05672,65038.72119,142301.8324,199566.9549,250840.3572,292106.7858,352743.3125,361452.9469,333027.4455,NA,80.53695162,87.09663891,87.42441329,88.99061893,88.68656656,89.80051757,87.69101692,87.93047682,107.9376534,122.8270834,140.79497080000002,148.935299,154.5688462,158.3790717,163.1621978,163.78591550000002,161.6961521,0,0,0,0,0,0,1,0,0
589,1335,Kurovskoe,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.59,38.93,3090.2481,1515.5449,2164.1187,NA,3388,11422,16350,17500,19300,21139,19507,21821,30859.07381,59081.09616,129414.8226,182691.3271,231055.8011,269570.6311,327832.104,336228.1602,309044.5427,NA,66.06430363,87.29719134,94.12847755,95.45204337,97.37466838,99.17919036,97.58532838,99.81264959,106.85741670000002,120.7068362,138.5512195,146.786631,152.5327389,156.36466399999998,161.29652480000001,161.9395021,159.80096630000003,0,0,0,0,0,0,1,0,0
590,1336,Likino-Dulevo,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.69,38.97,3101.3761,1518.6609,2170.2393,NA,11341,18490,24612,27500,31800,34203,31440,31331,30853.932,60638.38389,132238.1253,185633.4373,233990.3857,272544.4286,330851.7448,338419.3736,311685.3776,NA,87.16425245,96.53033662,102.2321068,104.4880836,107.4792831,108.9950332,107.24334440000001,107.1714259,106.85397169999999,121.279195,139.0597439,147.1740017,152.844642,156.639165,161.5295004,162.104872,160.01616380000002,0,0,0,0,0,0,1,0,0
591,1337,Vereia,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.77,39.1,3110.2929,1528.81,2180.607,NA,NA,NA,NA,NA,NA,4582,1989,5368,30035.52035,61614.07034,131497.6886,183382.3144,230457.2452,268341.5125,325126.4258,330715.6425,304749.4642,NA,NA,NA,NA,NA,NA,71.06305996,57.68990792,73.75736266,106.29890379999999,121.63102240000002,138.92734719999999,146.8781209,152.46867450000002,156.2503937,161.0860869,161.5190419,159.4473236,0,0,0,0,0,0,1,0,0
592,1339,Elektrogorsk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.88,38.78,3122.5744,1503.8884,2167.0264,NA,4073,12400,11500,13000,15900,18391,20353,22472,32833.89009,64685.03439,142587.1933,200654.7988,252396.7181,293871.9451,355096.7475,364771.5219,335170.9108,NA,69.09159005,88.83914072,87.42441329,89.73213313,93.58771527,96.42487201,98.42591559,100.4009084,108.1437037,122.70624620000001,140.84251630000003,149.06801480000001,154.7226858,158.53074750000002,163.3321205,164.019927,161.8593565,0,0,0,0,0,0,1,0,0
593,1340,Bol'shie Dvory,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.81,38.65,3114.7561,1493.8225,2157.0565,NA,NA,NA,NA,NA,NA,5283,4841,4926,37228.71378,73612.31159,164979.3759,231564.4666,290326.6982,336493.0777,401289.8154,411780.8131,380187.0572,NA,NA,NA,NA,NA,NA,73.48345973,71.99313075,72.28880905,110.7721648,125.58715659999999,144.3260023,152.5870624,158.2252563,161.959548,166.4729367,167.139557,165.0818622,0,0,0,0,0,0,1,0,0
594,1345,Krasnoarmeisk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,56.11,38.14,3148.3321,1454.6596,2140.0354,NA,4444,8923,18213,22400,26000,27460,26051,26294,37703.21538,71374.3267,161641.052,228434.3713,287517.695,335786.2867,403780.8146,423401.3422,386255.6692,NA,70.54841101,82.7442654,96.23395954,100.3366075,103.3445432,104.4583275,103.3843894,103.5732841,111.03892009999998,124.89612549999998,143.83524939999998,152.2510255,157.9807586,161.90603380000002,166.6326632,167.8599003,165.48905119999998,0,0,0,0,0,0,1,0,0
595,1356,Bronnitsy,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.42,38.28,3071.3764,1465.3584,2121.4776,3897,3630,6100,10100,11800,14200,16057,18232,21102,36876.50389,68869.01073,155057.7721,219626.3655,277893.1035,324898.2098,392568.9737,410729.7147,375036.8914,68.35920068,67.19061108,75.96942388,85.01376064,87.90665343,91.41266829,93.77792251,96.25441753,99.14430046,110.57216240000001,124.09874409999999,142.8396203,151.282203,157.12601940000002,161.0682634,165.9064438,167.07347869999998,164.7315694,0,0,0,0,0,0,1,0,0
596,1363,Ruza,Moskovskaia oblast',Tcentralny,0,1,1,24.0,55.7,36.2,3102.49,1310.44,2016.34,2349,2820,4410,6000,7700,10900,14643,13516,13495,27768.49192,49590.92936,108864.4974,153605.2472,195978.4792,229899.0644,282458.0926,293029.4078,268402.1714,60.24468521,63.11495574,70.41945353,75.68155685,80.08416443,86.42524819,92.00104814,90.47109475,90.44151748,104.68681049999999,116.8898993,134.51033909999998,142.6147379,148.49275,152.4087935,157.534767,158.4584552,156.2560444,0,0,0,0,0,0,1,0,0
597,1364,Dorokhovo,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.54,36.37,3084.6916,1322.7769,2019.9898,NA,NA,NA,NA,NA,NA,5286,4349,NA,29320.31293,52513.89275,115501.6365,163364.87900000002,208590.1578,244753.7846,301408.8838,313951.3185,287879.4915,NA,NA,NA,NA,NA,NA,73.49319295,70.18587761,NA,105.8025331,118.13153159999999,135.886581,144.08981,150.0166061,153.9586631,159.1690838,160.1994773,158.0123727,0,0,0,0,0,0,1,0,0
598,1365,Koliubakino,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.67,36.54,3099.1489,1335.1716,2034.1818,NA,NA,NA,NA,NA,NA,3141,2747,NA,31905.35574,58050.37294,129204.6645,182839.1494,232954.2937,272916.653,333178.6493,348572.45399999997,318922.5949,NA,NA,NA,NA,NA,NA,64.83947892,62.69891564,NA,107.54787520000001,120.3204179,138.51296169999998,146.8062301,152.73493340000002,156.6733295,161.7076965,162.85846999999998,160.5974191,0,0,0,0,0,0,1,0,0
599,1366,Tuchkovo,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.6,36.46,3091.36,1329.3316,2027.1760000000002,NA,NA,NA,NA,NA,NA,15047,16966,17381,30556.01073,55204.57305,122128.2859,172757.1855,220330.7565,258329.1265,315816.6664,329600.1214,301111.9656,NA,NA,NA,NA,NA,NA,92.52388966,94.84747083,95.3187647,106.65347009999999,119.2202169,137.1903232,145.4349733,151.3609826,155.30118819999998,160.3494709,161.43317209999998,159.144216,0,0,0,0,0,0,1,0,0
600,1368,Serebrianye Prudy,Moskovskaia oblast',Tcentralny,0,0,1,44.0,54.47,38.72,2966.9809,1499.2384,2109.0784,NA,NA,NA,NA,NA,NA,8977,8969,9705,25109.46335,42090.38626,89799.69465,130326.8728,168728.8556,197874.9521,246353.7064,248681.48,228772.5906,NA,NA,NA,NA,NA,NA,82.8540686,82.83783862,84.27967982,102.6371626,113.37084569999999,130.0817088,138.71659590000002,144.86645869999998,148.72755080000002,154.1203965,154.35399089999999,152.2875388,0,0,0,0,0,0,1,0,0
601,1370,Proletarskii,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.02,37.39,3027.2004,1398.0121,2057.1978,NA,NA,NA,NA,NA,NA,4677,4103,4156,32415.606239999997,57745.46285,124629.0341,176815.4305,226276.0406,265385.5265,323657.7682,334843.85,307024.345,NA,NA,NA,NA,NA,NA,71.40946564,69.21364252,69.42736248,107.8772065,120.2049118,137.6655623,145.9955469,152.0168403,155.973594,160.9711836,161.83451619999997,159.6351974,0,0,0,0,0,0,1,0,0
602,1371,Protvino,Moskovskaia oblast',Tcentralny,0,0,0,24.0,54.87,37.22,3010.7169,1385.3284,2042.2614,NA,NA,NA,NA,NA,NA,34520,36175,37308,29838.60438,52070.14622,111542.8037,158309.1071,203133.3178,238143.8713,291502.5178,299277.4306,274948.981,NA,NA,NA,NA,NA,NA,109.1877481,110.1686096,110.8169513,106.16331329999998,117.9471381,135.0746887,143.3360816,149.3679412,153.28000590000002,158.3269545,158.9900656,156.8591134,0,0,0,0,0,0,1,0,0
603,1377,Zhilevo,Moskovskaia oblast',Tcentralny,0,0,0,24.0,54.98,38.02,3022.8004,1445.5204,2090.3396,NA,NA,NA,NA,NA,NA,2733,2468,NA,30214.179369999998,53501.94043,118868.5571,170503.6088,219073.6589,256523.5766,312984.5547,321289.9326,295572.5287,NA,NA,NA,NA,NA,NA,62.618025,61.01427343,NA,106.4212303,118.5370727,136.55730459999998,145.1184451,151.2202251,155.1264236,160.12141609999998,160.78491599999998,158.6760832,0,0,0,0,0,0,1,0,0
604,1378,Malino,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.11,38.19,3037.1121,1458.4761,2104.6509,NA,NA,NA,NA,NA,NA,3172,4363,3969,31434.581469999997,56367.05956,125072.3286,178337.8486,227623.7508,266333.5256,324717.5774,335427.7669,307584.4489,NA,NA,NA,NA,NA,NA,64.99773992,70.23973914,68.66226144,107.23977450000001,119.6757281,137.748894,146.2028017,152.16331019999998,156.0626726,161.054148,161.878849,159.68125759999998,0,0,0,0,0,0,1,0,0
605,1379,Mikhnevo,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.13,37.97,3039.3169,1441.7209,2093.2861,NA,NA,NA,NA,NA,NA,9192,10831,11286,32551.6412,58716.35094,130376.117,185595.3973,236695.0337,277118.1449,336735.2989,349578.085,319938.6858,NA,NA,NA,NA,NA,NA,83.28549714,86.30721537,87.07350119,107.9642165,120.5707987,138.7254949,147.1690293,153.1289386,157.056017,161.9778637,162.9320067,160.67805159999997,0,0,0,0,0,0,1,0,0
606,1381,Taldom,Moskovskaia oblast',Tcentralny,0,1,1,24.0,56.73,37.54,3218.2929,1409.2516,2129.6442,1200,5967,9900,10400,11900,13100,14410,13334,13819,25787.35762,46869.035110000004,103182.4348,145568.5945,185052.2412,216615.9712,266543.6807,272122.5783,250260.0635,50.26918954,75.58562848,84.64533675,85.55438027,88.06496786,89.87736811,91.6936032,90.21338014,90.89333740000001,103.177643,115.672445,133.2697984,141.3341186,147.09792769999999,150.9428805,156.0823803,156.60039369999998,154.51126200000002,0,0,0,0,0,0,1,0,0
607,1382,Verbilki,Moskovskaia oblast',Tcentralny,0,0,0,24.0,56.53,37.6,3195.6409,1413.76,2125.528,NA,NA,NA,NA,NA,NA,8361,6764,7019,28491.972939999996,52484.668880000005,116680.0223,164521.3129,208490.34399999998,244076.2538,298010.3131,306840.7311,281462.1912,NA,NA,NA,NA,NA,NA,81.56498147,77.78128208,78.4353965,105.21379679999998,118.11943159999998,136.1233369,144.2592062,150.00488169999997,153.8898795,158.88308480000003,159.6200811,157.4461155,0,0,0,0,0,0,1,0,0
