,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
46,152,Vizinga,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.08,50.1,3730.7664,2510.01,3060.1079999999997,0,0,0,0,0,7014,7140,NA,15868.025109999999,35087.79533,55090.45496,71639.14711,84941.96342999999,111600.8426,109445.3128,101138.8838,0.0,0.0,0.0,0.0,0.0,78.4227748,78.73843533,NA,93.54877103,109.5289642,119.1750321,124.9789162,128.816224,135.0867806,134.6337925,132.8083367,0,0,0,0,1,0,0,0,0
47,155,Troitsko-Pechorsk,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.7,56.2,3931.29,3158.44,3523.74,0,0,0,0,0,10704,8851,7276,12490.91719,27960.60152,44993.53948,58063.156370000004,68791.83292,91031.64478,88817.77832,82047.60502999999,0.0,0.0,0.0,0.0,0.0,86.08820149,82.59693744,79.07364913,88.97690527,104.82794109999999,114.79567140000002,120.32524850000001,124.0737634,130.39270390000001,129.83103219999998,128.03046750000001,0,0,0,0,1,0,0,0,0
48,158,Blagoevo,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.42,47.97,4022.0964,2301.1209,3042.2574,0,0,0,0,0,4695,2640,2221,13858.979640000001,30441.451589999997,46619.82181,60352.54695,71440.66561,93893.37073,91685.47154,84560.32229,0.0,0.0,0.0,0.0,0.0,71.47440041,62.07130108,59.37801012,90.94843042,106.5759013,115.5577935,121.17514879999999,124.9168912,131.100555,130.5562002,128.71402659999998,0,0,0,0,1,0,0,0,0
49,160,Usogorsk,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.44,48.67,4024.6336,2368.7689,3087.6248,0,0,0,0,0,11259,5583,5340,13669.836269999998,30057.011430000002,46271.74358,59910.92423,70941.1856,93425.71642000001,91246.873,83992.57083,0.0,0.0,0.0,0.0,0.0,87.02880598,74.43343781,73.66756168,90.68651866,106.3136533,115.39672490000001,121.01351149999999,124.760108,130.9862378,130.446642,128.5612111,0,0,0,0,1,0,0,0,0
51,165,Parma,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.94,57.46,4348.0836,3301.6516,3788.9124,0,0,0,0,0,8791,1387,1211,10190.48173,22629.02697,36404.063330000004,47081.5124,57957.55436,79370.11203999999,76996.49709,71753.89863,0.0,0.0,0.0,0.0,0.0,82.47334709999998,52.34375515,50.3986654,85.17830615,100.5405032,110.30115520000001,115.7697601,120.2853149,127.2807521,126.59659450000001,125.0147044,0,0,0,0,1,0,0,0,0
52,167,Mikun',Komi ASSR,Severno-Zapadny,0,1,0,1.0,62.36,50.06,3888.7696,2506.0036,3121.7416,0,0,11300,10400,11300,12507,11680,10732,14437.7209,31882.02092,49960.2927,64935.96181,77037.75365,101804.7196,99585.33096,91815.58051,0.0,0.0,87.09663891,85.55438027,87.09663891,89.00118179,87.71508629,86.1366865,91.73041348,107.53270069999999,117.05041100000001,122.79203740000001,126.6086492,132.9596195,132.45179040000002,130.5886084,0,0,0,0,1,0,0,0,0
53,168,Zheshart,Komi ASSR,Severno-Zapadny,0,0,0,1.0,62.06,49.55,3851.4436,2455.2025,3075.073,0,0,0,0,0,12674,10029,8560,14942.3598,32921.3206,51597.15591,67049.646,79510.35005,104610.0611,102460.8813,94505.48347,0.0,0.0,0.0,0.0,0.0,89.25162712,84.88372082,81.99040757,92.38968658,108.1990195,117.7490152,123.50296110000001,127.3205877,133.5872487,133.10782279999998,131.249402,0,0,0,0,1,0,0,0,0
55,173,Ust'-Kulom,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.69,53.69,3805.6561,2882.6161,3312.1361,0,0,0,0,0,5888,5475,NA,14033.564059999999,31355.80075,50140.94281,64808.38544,76747.58035,101202.7378,98966.07583,91302.79707,0.0,0.0,0.0,0.0,0.0,75.35406048,74.0967611,NA,91.18735762,107.1878094,117.128523,122.74845719999999,126.52373859999999,132.8228841,132.3082517,130.460638,0,0,0,0,1,0,0,0,0
56,176,Ust'-Tsil'ma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.44,52.16,4282.3936,2720.6656,3413.3504,3247,0,0,0,0,5344,5081,NA,11327.93012,25033.71898,39052.58483,50529.01695,59944.681370000006,79163.62336,77168.46203,71248.83114,65.37509634,0.0,0.0,0.0,0.0,73.68041582,72.81658377,NA,87.14272249999999,102.5759577,111.7812314,117.295464,121.02590500000001,127.2219807,126.64680200000001,124.85679420000001,0,0,0,0,1,0,0,0,0
64,196,Kuloi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.03,42.5,3724.6609,1806.25,2593.775,0,0,0,0,0,8934,6817,5945,19179.10944,41309.94912,60930.83255,78466.65995,92456.45422999999,119402.4307,117506.9037,107960.9328,0.0,0.0,0.0,0.0,0.0,82.7666806,77.91901444,75.52141506,97.25069926,112.9726362,121.3851874,127.02257209999999,130.7476313,136.6620582,136.28816830000002,134.3170829,0,0,0,0,1,0,0,0,0
67,201,Verkhniaia Toima,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.25,45.02,3875.0625,2026.8004,2802.495,0,0,0,0,0,4430,3940,NA,16102.082709999999,35088.048819999996,52641.9878,68054.4655,80388.81015,104892.6646,102777.8428,94516.80812,0.0,0.0,0.0,0.0,0.0,70.49541648,68.54078133,NA,93.83223251,109.52911540000001,118.18449679999999,123.83380009999999,127.56867290000001,133.6496195,133.17910279999998,131.2521475,0,0,0,0,1,0,0,0,0
69,207,Bereznik,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.85,42.74,3950.1225,1826.7076,2686.2090000000003,0,0,0,0,0,7006,6464,6017,15944.35751,34799.28076,51318.28009,66284.37815,78297.39744,101533.6735,99281.35816,91659.42288,0.0,0.0,0.0,0.0,0.0,78.40256346,76.98313918,75.73079240000001,93.64162496,109.3562108,117.63142759999998,123.2479544,126.9739008,132.89814520000002,132.38143390000002,130.54970690000002,0,0,0,0,1,0,0,0,0
70,210,Kargopol',Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,27.0,61.5,38.93,3782.25,1515.5449,2394.195,3449,6300,8700,11400,10700,12495,11192,10148,19332.42023,41537.19131,59463.35351,76276.31321000001,89933.12097999999,115428.9943,113403.9779,104968.8757,66.354703,76.53283884,82.28446161,87.26116796,86.08126582,88.98307079,86.91748091,85.10121394,97.40779553,113.0892825,120.84858829999999,126.38521100000001,130.1155784,135.871914,135.45961119999998,133.6664131,0,0,0,0,1,0,0,0,0
73,214,Ertsevo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,60.8,40.09,3696.64,1607.2081,2437.472,0,0,0,0,0,4683,4013,NA,20619.31242,44198.37959,63716.4645,81823.4961,96399.14622000001,124308.0892,122300.6563,112996.3704,0.0,0.0,0.0,0.0,0.0,71.43113501,68.84509387,NA,98.68402642,114.41390159999999,122.3722307,127.9685774,131.7043743,137.6050608,137.2233646,135.3758074,0,0,0,0,1,0,0,0,0
75,217,Sol'vychegodsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.33,46.92,3761.3689,2201.4864,2877.6036,2129,3000,3500,3900,4100,4004,2843,2460,17127.36213,37850.34804,59287.85517,78385.03876,92560.85171,120456.5764,117800.7466,108583.8778,58.72781704,64.10192163,66.59405807,68.37192611,69.20147267,68.80784024,63.24408711,60.96356208,95.03193792,111.12101809999999,120.78361159999999,126.9991139,130.7734405,136.8676447,136.346488,134.450477,0,0,0,0,1,0,0,0,0
