,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
88,238,Shalakusha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,27.0,62.22,40.27,3871.3284,1621.6729,2505.5994,0,0,0,0,0,3343,2790,17606.47281,38102.2596,55215.16359,71027.9833,83756.59349,108791.3104,106380.0968,0.0,0.0,0.0,0.0,0.0,65.84712082,62.94513285,95.57060393,111.26091299999999,119.22440590000001,124.78742520000002,128.4974183,134.49474030000002,133.97538799999998,0,0,0,0,1,0,0,0,0
89,241,Maloshuika,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.71,43.76,4058.9641,1914.9376,2787.9496,0,0,0,0,0,3972,3164,14625.99869,32167.889389999997,47763.85787,61822.57818,73100.36038,95068.05486,92740.74579,0.0,0.0,0.0,0.0,0.0,68.67478377,64.95702851,91.97876355,107.7179121,116.0796044,121.7055518,125.43078429999998,131.38542809999998,130.81785190000002,0,0,0,0,1,0,0,0,0
93,249,Emtsa,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.07,40.34,3977.8249,1627.3156,2544.2438,710,0,0,0,0,2266,1498,16272.853130000001,35541.41237,51608.61381,66624.18964,78692.65973,102064.9159,99488.18518,43.10270413,0.0,0.0,0.0,0.0,59.68754437,53.46367928,94.03672634,109.7979949,117.7538341,123.36151709999999,127.08740929999999,133.0184925,132.42932679999998,0,0,0,0,1,0,0,0,0
95,251,Oksovskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.6,39.93,3918.76,1594.4049,2499.618,0,0,0,0,0,2887,2207,17078.41235,36953.39708,53481.08095,68868.86615,81278.62303999999,107010.1009,104354.9559,0.0,0.0,0.0,0.0,0.0,63.48859659,59.28059723,94.97614455,110.61597330000001,118.5285815,124.0986973,127.81745790000001,134.1121147,133.5308145,0,0,0,0,1,0,0,0,0
96,252,Puksoozero,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.58,40.61,3916.2564,1649.1721,2541.3738,0,0,0,0,0,4255,2169,16952.540080000002,36706.23778,53355.47449,68751.51631,81143.86225,105797.8046,103319.8241,0.0,0.0,0.0,0.0,0.0,69.82022991,59.01345449,94.83201257,110.47485619999999,118.4773878,124.0607037,127.77993980000001,133.8483565,133.3005225,0,0,0,0,1,0,0,0,0
98,254,Samoded,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.62,40.52,4047.5044,1641.8704,2577.8824,0,0,0,0,0,3072,2004,15686.925330000002,34766.09201,50469.74085,65441.578120000006,77371.78331,99943.89932000001,96991.46855,0.0,0.0,0.0,0.0,0.0,64.48225056,57.80409544,93.32686126,109.3362554,117.2700402,122.9639934,126.706033,132.5345318,131.8450114,0,0,0,0,1,0,0,0,0
100,257,Uemskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,64.48,40.86,4157.6704,1669.5396,2634.6528,0,0,0,0,0,4211,3735,18386.3159,46356.02912,64242.09447999999,86134.24175,102037.6123,125657.2952,118093.675,0.0,0.0,0.0,0.0,0.0,69.6466263,67.65890121,96.41986941,115.43582749999999,122.55406509999999,129.1328211,133.0123212,137.85844509999998,136.4044938,0,0,0,0,1,0,0,0,0
102,263,Ileza,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.04,43.88,3725.8816,1925.4544,2678.4352,0,0,0,0,0,2171,1487,18465.61721,39937.66338,59325.404420000006,76506.40503,90218.11894,117174.0638,115187.6583,0.0,0.0,0.0,0.0,0.0,59.02761575,53.35595321,96.50440882,112.25561640000001,120.7975285,126.4529429,130.1877705,136.2219475,135.82312549999997,0,0,0,0,1,0,0,0,0
104,265,Loiga,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.08,44.61,3730.7664,1990.0521,2724.7788,0,0,0,0,0,2274,1682,18135.08858,39291.75707,58705.33695,75758.47891,89347.21577000001,116406.2035,114285.8962,0.0,0.0,0.0,0.0,0.0,59.74201162,55.17130428,96.14986856,111.91037539999999,120.56667890000001,126.23209299999999,129.96650630000002,136.06851809999998,135.6399944,0,0,0,0,1,0,0,0,0
105,267,Lukovetskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,64.3,41.92,4134.49,1757.2864,2695.4559999999997,0,0,0,0,0,3002,2808,14895.043940000001,33561.9985,48851.85894,63633.69481,75278.27483,97091.20935,93881.78811000001,0.0,0.0,0.0,0.0,0.0,64.11259367,63.04721696,92.32872640000001,108.60036129999999,116.5654425,122.34347350000002,126.08924750000001,131.8686161,131.09772990000002,0,0,0,0,1,0,0,0,0
118,297,Lipin Bor,Vologodskaia oblast',Severno-Zapadny,0,0,1,26.0,60.26,37.98,3631.2676,1442.4804,2288.6748,0,0,0,0,0,4083,3845,23069.41314,48913.45818,69137.70987,88590.92709,104427.2495,132639.1362,130934.3225,0.0,0.0,0.0,0.0,0.0,69.13236182,68.13724706,100.9273985,116.5926545,124.18551740000001,129.7727593,133.54682,139.13116530000002,138.8261544,0,0,0,0,1,0,0,0,0
125,313,Khokhlovo,Vologodskaia oblast',Severno-Zapadny,0,0,0,26.0,59.14,37.4,3497.5396,1398.76,2211.8360000000002,0,0,0,0,0,2807,2527,27161.832860000002,57289.892060000006,81546.57939,105728.01,125336.1797,159132.0827,157983.8043,0.0,0.0,0.0,0.0,0.0,63.04156065,61.38390469,104.23528,120.0312953,127.89189009999998,133.8330875,137.79836530000003,143.460263,143.2868325,0,0,0,0,1,0,0,0,0
128,319,Shuiskoe,Vologodskaia oblast',Severno-Zapadny,0,0,1,7.0,59.38,41.04,3525.9844,1684.2816,2436.9552,0,0,0,0,0,2531,2436,24934.27781,53364.97342,77018.27256,98784.52494,116210.8328,147598.924,146048.9203,0.0,0.0,0.0,0.0,0.0,61.40869102,60.81056057,102.4953508,118.4812631,126.6029578,132.26601399999998,136.0293325,141.6636479,141.4124555,0,0,0,0,1,0,0,0,0
130,324,Niuksenitsa,Vologodskaia oblast',Severno-Zapadny,0,0,1,7.0,60.42,44.26,3650.5764,1958.9476,2674.1892,0,0,0,0,0,4164,4407,19469.929790000002,42067.41137,62588.38846,80695.74763,95112.95861,123130.8362,121209.3764,0.0,0.0,0.0,0.0,0.0,69.45941352,70.40803292,97.54775087,113.3592189,121.97733670000001,127.6547726,131.3962539,137.3819061,137.01345609999998,0,0,0,0,1,0,0,0,0
132,329,Siamzha,Vologodskaia oblast',Severno-Zapadny,0,0,1,7.0,60.02,41.06,3602.4004,1685.9236,2464.4212,0,0,0,0,0,3928,3932,22425.81146,48116.597969999995,69688.35377999999,89504.69947,105352.758,134607.0652,132913.2061,0.0,0.0,0.0,0.0,0.0,68.49028361,68.50713124,100.3596803,116.23820790000002,124.3623866,130.0066624,133.7508348,139.4788207,139.1798644,0,0,0,0,1,0,0,0,0
142,350,Chebsara,Vologodskaia oblast',Severno-Zapadny,0,0,0,26.0,59.2,38.84,3504.64,1508.5456,2299.328,676,0,0,0,0,2732,1776,27073.36124,57363.52428,82091.29525,105990.7482,125399.8991,158354.574,157263.4176,42.4607722,0.0,0.0,0.0,0.0,62.61223325,55.98210359,104.1686728,120.05944109999999,128.04251509999997,133.8905193,137.81029819999998,143.34295769999997,143.177438,0,0,0,0,1,0,0,0,0
153,384,Verkhnetulomskii,Murmanskaia oblast',Severno-Zapadny,0,0,0,1.0,68.61,31.83,4707.3321,1013.1489,2183.8563,0,0,0,0,0,2797,2003,10035.22526,23898.539409999998,36439.35165,47440.816210000005,56323.3226,74000.68726,69553.26162,0.0,0.0,0.0,0.0,0.0,62.98490044,57.79650607,84.89515544,101.6381066,110.32150729999998,115.9334193,119.65874529999999,125.70512430000001,124.3191125,0,0,0,0,1,0,0,0,0
154,385,Kil'dinstroi,Murmanskaia oblast',Severno-Zapadny,0,0,0,1.0,68.8,33.12,4733.44,1096.9344,2278.656,0,0,0,0,0,3731,2861,10438.97909,29817.56865,48208.015210000005,63302.71122999999,75597.60702000001,100557.2654,89482.07801,0.0,0.0,0.0,0.0,0.0,67.6412747,63.34451092,85.62359918,106.148781,116.27913999999998,122.22813629999999,126.1843309,132.6754425,130.0008982,0,0,0,0,1,0,0,0,0
157,388,Tumannyi,Murmanskaia oblast',Severno-Zapadny,0,0,0,1.0,68.87,35.69,4743.0769,1273.7761,2457.9703,0,0,0,0,0,1918,950,9975.972520000001,23007.27365,34895.59571,45286.890510000005,53702.14659,70472.74508,67145.35023,0.0,0.0,0.0,0.0,0.0,57.13905935,47.01107095,84.78606204,100.8732118,109.4140247,114.93497109999998,118.6184172,124.61215190000001,123.5346656,0,0,0,0,1,0,0,0,0
158,389,Shongui,Murmanskaia oblast',Severno-Zapadny,0,0,0,1.0,68.74,33.2,4725.1876,1102.24,2282.1679999999997,0,0,0,0,0,1771,1189,10292.3805,27442.19573,43593.56505,57146.357789999995,68121.97957000001,90337.37591,81812.57285,0.0,0.0,0.0,0.0,0.0,55.93992307,50.13869017,85.36206168,104.4450703,114.1193278,119.97633490000001,123.85586950000001,130.2179175,127.96555690000001,0,0,0,0,1,0,0,0,0
160,392,Lovozero,Murmanskaia oblast',Severno-Zapadny,0,0,1,1.0,67.96,35.14,4618.5616,1234.8196,2388.1144,0,0,0,0,0,3638,3141,10627.89939,24564.22159,36825.26294,47657.678060000006,56470.066629999994,74472.73861,70914.75657,0.0,0.0,0.0,0.0,0.0,67.22670615,64.83947892,85.95585108,102.1928162,110.5429213,116.0316544,119.7156778,125.8477513,124.75178419999999,0,0,0,0,1,0,0,0,0
