,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1897,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1897,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1897,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,log_pop1897,log_pop1926,log_pop1939,log_pop1959,log_pop1970,log_pop1979,log_pop1989,log_pop2002,log_pop2010,lag_log_pop1897,lag_log_pop1926,lag_log_pop1939,lag_log_pop1959,lag_log_pop1970,lag_log_pop1979,lag_log_pop1989,lag_log_pop2002,lag_log_pop2010,log_mp1897,log_mp1926,log_mp1939,log_mp1959,log_mp1970,log_mp1979,log_mp1989,log_mp2002,log_mp2010
634,1436,Krasnaia Zaria,Orlovskaia oblast',Tcentralny,,,1,29.0,52.74,37.73,"2781,5076","1423,5529","1989,8802",,,,,,,1821,1826,,20186.60546,31455.40674,62199.10822,90378.29552,119559.2897,141804.1239,182093.0365,182588.1932,168322.6221,,,,,,,56.35716719,56.39834359,,98.26309962,107.2534916,121.839562,130.2282531,136.6927547,140.7118357,146.7071578,146.7729484,144.8084384,,,,,,,7.50714108,7.509883061,,,,,,,,8.940498218,8.878636747,,18856.89889,29258.85719,56732.3686,82466.5356,109516.1605,130796.1908,168852.3023,169606.8178,157144.4415
635,1439,Kromy,Orlovskaia oblast',Tcentralny,,,1,29.0,52.68,35.77,"2775,1824","1279,4929","1884,3636",5586,5191,,,,,7082,7194,6766,19382.77193,29940.20779,58754.96398,83935.47539,111593.3635,133630.6381,171799.4043,172557.2888,159450.4267,74.44270749,73.18257789,,,,,78.59375034,78.87220761,77.78649687,97.45914631,106.2333749,120.5852363,128.5457912,135.0852227,139.3069103,145.3009127,145.4070501,143.5081411,8.628018747,8.554681636,,,,,8.865311633,8.881002624,8.819665349,,,,,,,7.50714108,7.509883061,,20186.60546,31455.40674,62199.10822,90378.29552,119559.2897,141804.1239,182093.0365,182588.1932,168322.6221
636,1442,Maloarkhangel'sk,Orlovskaia oblast',Tcentralny,,1,1,29.0,52.4,36.53,"2745,76","1334,4409","1914,172",7785,3091,3500,2500,3000,3600,4294,3962,3614,18783.80138,29347.56623,57179.52545,82697.90457,109714.3993,131125.6353,169596.962,170300.9538,157519.7089,80.28077719,64.58131313,66.59405807,61.21569598,64.10192163,67.05462958,69.97278966,68.63301029,67.11821092,96.84036349,105.8216468,119.9890462,128.2091864,134.6907846,138.8605629,144.9900179,145.0897933,143.2164097,8.959954084,8.036249942,8.160518247,7.824046011,8.006367568,8.188689124,8.364973978,8.284504227,8.192570471,8.628018747,8.554681636,,,,,8.865311633,8.881002624,8.819665349,19382.77193,29940.20779,58754.96398,83935.47539,111593.3635,133630.6381,171799.4043,172557.2888,159450.4267
637,1446,Khomutovo,Orlovskaia oblast',Tcentralny,,,1,29.0,52.86,37.45,"2794,1796","1402,5025","1979,607",,,,,,,4753,4710,4234,20119.8037,31513.17645,62737.2665,90849.64671,119957.7789,142263.6381,182647.6424,183161.0841,168817.5379,,,,,,,71.68215186,71.52834526,69.73757176,98.19739487,107.2915001,122.029822,130.3470027,136.7705718,140.7886005,146.7808363,146.8488635,144.8791077,,,,,,,8.466531277,8.457443187,8.350902452,8.959954084,8.036249942,8.160518247,7.824046011,8.006367568,8.188689124,8.364973978,8.284504227,8.192570471,18783.80138,29347.56623,57179.52545,82697.90457,109714.3993,131125.6353,169596.962,170300.9538,157519.7089
638,1448,Novosil',Orlovskaia oblast',Tcentralny,,1,1,29.0,52.97,37.07,"2805,8209","1374,1849","1963,5979",2900,2728,3300,2400,3000,3200,4198,4017,3661,20191.9525,31675.84616,63224.44942,91279.20352,120441.289,142993.9366,183519.9781,184175.2653,169807.75,63.56021438,62.58904773,65.63718232,60.57857609,64.10192163,65.13952509,69.59502877,68.86162745,67.33009261,98.2683504,107.3981883,122.2007844,130.4547342,136.864675,140.9101355,146.8963104,146.9827223,145.0199323,7.972466016,7.911324019,8.101677747,7.783224016,8.006367568,8.070906089,8.3423635,8.298290634,8.205491613,,,,,,,8.466531277,8.457443187,8.350902452,20119.8037,31513.17645,62737.2665,90849.64671,119957.7789,142263.6381,182647.6424,183161.0841,168817.5379
639,1450,Znamenka,Orlovskaia oblast',Tcentralny,,,,29.0,52.9,35.98,"2798,41","1294,5604","1903,342",,,,,,,12350,12099,11995,25417.26604,37004.34515,69408.71111,98496.61835,133018.9837,160867.2461,202012.4456,202524.4729,187783.0982,,,,,,,88.76299168,88.37650874,88.21426943,102.8841814,110.6449561,124.2727238,132.1988873,139.1986354,143.72017,149.2327226,149.2945772,147.4534895,,,,,,,9.421411342,9.400878084,9.392245175,7.972466016,7.911324019,8.101677747,7.783224016,8.006367568,8.070906089,8.3423635,8.298290634,8.205491613,20191.9525,31675.84616,63224.44942,91279.20352,120441.289,142993.9366,183519.9781,184175.2653,169807.75
640,1452,Pokrovskoe,Orlovskaia oblast',Tcentralny,,,1,29.0,56.61,36.88,"3204,6921","1360,1344","2087,7768",,,,,,,4301,4628,4427,25860.84571,46785.86536,103630.57,145601.2671,185992.7491,218175.953,267492.2831,273852.4408,252007.5109,,,,,,,70.00004296,71.23157591,70.48404132,103.2354627,115.634244,133.3698765,141.3394547,147.2209236,151.1192538,156.1711599,156.7590315,154.6842963,,,,,,,8.366602833,8.439880088,8.395477433,,,,,,,9.421411342,9.400878084,9.392245175,25417.26604,37004.34515,69408.71111,98496.61835,133018.9837,160867.2461,202012.4456,202524.4729,187783.0982
641,1454,Zmievka,Orlovskaia oblast',Tcentralny,,,1,29.0,52.61,36.88,"2767,8121","1360,1344","1940,2568",,,,,,,6295,6373,5974,19568.33039,30343.67016,59561.14967,86036.75132,113925.4615,135723.248,174574.4022,175252.488,161860.8367,,,,,,,76.51894776,76.73454446,75.60601609,97.64735736,106.509484,120.8847208,129.107084,135.5664271,139.6739439,145.6874662,145.7810655,143.8678434,,,,,,,8.747510946,8.759825595,8.695171999,,,,,,,8.366602833,8.439880088,8.395477433,25860.84571,46785.86536,103630.57,145601.2671,185992.7491,218175.953,267492.2831,273852.4408,252007.5109
642,1456,Soskovo,Orlovskaia oblast',Tcentralny,,,1,29.0,52.74,35.4,"2781,5076","1253,16","1866,996",,,,,,,1759,2122,,18941.59067,29328.22478,57725.97031,82083.99177,108894.1209,130186.1097,167975.4988,168667.1109,155873.8393,,,,,,,55.83826738,58.67735138,,97.00507314,105.8080836,120.1975087,128.0405016,134.5166501,138.6911415,144.7587587,144.8576483,142.9651197,,,,,,,7.472500745,7.660114319,,,,,,,,8.747510946,8.759825595,8.695171999,19568.33039,30343.67016,59561.14967,86036.75132,113925.4615,135723.248,174574.4022,175252.488,161860.8367
643,1459,Trosna,Orlovskaia oblast',Tcentralny,,,1,29.0,52.44,35.78,"2749,9536","1280,2084","1876,3032",,,,,,,2346,2662,,18668.69903,28850.67318,56039.27625,80439.2985,107119.1835,128599.1839,166113.2603,166962.4817,154564.1155,,,,,,,60.22484851,62.20213475,,96.71942702,105.470612,119.5481593,127.5828561,134.1357137,138.402419,144.4906202,144.6132372,142.7634089,,,,,,,7.760467029,7.886832999,,,,,,,,7.472500745,7.660114319,,18941.59067,29328.22478,57725.97031,82083.99177,108894.1209,130186.1097,167975.4988,168667.1109,155873.8393
